reservoir,N,test_accuracy,test_top3,test_ang_err_deg,test_boost_acc,train_accuracy,train_ang_err_deg,n_train_frames,n_test_frames
connectome,300,0.5578589108910891,0.713180693069307,18.500154702970296,0.8138923267326733,0.5738464279351505,15.995189738107964,28115,6514
connectome,500,0.5714727722772277,0.7141089108910891,16.727258663366335,0.8132735148514851,0.6135756280064136,13.677356137537858,28115,6514
connectome,1000,0.5697710396039604,0.7159653465346535,16.708694306930692,0.8194616336633663,0.668412613575628,11.06680919294495,28115,6514
erdos_renyi,300,0.5577042079207921,0.7176670792079208,18.05461014851485,0.791769801980198,0.5729912702654552,16.164261535720648,28115,6514
erdos_renyi,500,0.5720915841584159,0.7204517326732673,16.89897896039604,0.8131188118811881,0.6054159985747373,14.174060217352574,28115,6514
erdos_renyi,1000,0.5702351485148515,0.7195235148514851,17.153465346534652,0.8298267326732673,0.6686976661321932,10.885444503830394,28115,6514
