x,y,z
1.0,1.0,1.0
1.1072293034818879,1.79834174900278,0.9651698084431701
1.4093156140273286,2.739044760758139,0.9726879016633881
1.9139333128957452,3.969556470616255,1.0575573800556113
2.663426999410955,5.650970182557835,1.292586229271208
3.737369364816441,7.964679120586164,1.817266117764171
5.234454269378367,11.081016019852926,2.9140506137520115
7.291979380318148,15.18748333107735,5.069561972479963
10.001871634605212,20.12207351072791,9.050838006374889
13.289602592889945,24.89285148934,15.93927150684143
16.701606281414115,27.234825796799004,26.188788517095524
19.165303535363705,24.128385932251298,37.85013750529831
19.335777561972414,15.273148888426649,46.11435368303632
16.783621281094884,4.426293984486321,47.73368529765118
12.391245527357267,-3.6390647279786172,44.12003971489097
7.6206240207034375,-7.591621059250707,39.06591666305846
3.4722177493882125,-8.822970331061905,34.75962472179926
0.2659132290170687,-8.854249248271039,31.63405464114904
-2.0577722142914157,-8.53620148514433,29.4470627749001
-3.69437936028944,-8.233852227779995,27.890321527835393
-4.844512992968785,-8.079977371676506,26.756978517140926
-5.686169983308748,-8.10474266209979,25.930284157002315
-6.331835278667432,-8.28692354866468,25.36260620218186
-6.877523910881451,-8.5942281759879,25.02190833976961
-7.375350564064965,-8.983637200472739,24.904926708152935
-7.847618326002362,-9.4072495480376,25.012824078576646
-8.308301117195802,-9.808775648164163,25.329698590273786
-8.744338825267436,-10.130626529428891,25.83618905337433
-9.131088124470988,-10.317353523140389,26.492731442016954
-9.443274188714167,-10.325325624818976,27.22887933480294
-9.653434974930475,-10.131682071771712,27.95967696130145
-9.731396344997993,-9.755504505700284,28.592184176374886
-9.666334422022167,-9.237009147622755,29.050550014896114
-9.47072014850539,-8.632776793890766,29.28384514383476
-9.169321335739067,-8.02173128068671,29.274697667836325
-8.795756340006122,-7.474524421953537,29.032111456625916
-8.391462895861931,-7.03931121845953,28.58742976195622
-7.997751519353824,-6.750831697113229,28.001918765932725
-7.654052931272324,-6.621613066189915,27.352733187228374
-7.3867619013425365,-6.6399891793164745,26.68355638782377
-7.212598677715712,-6.802743772667232,26.04074024470074
-7.141903517712496,-7.092008319300003,25.468918086479576
-7.178316620853381,-7.47470198779363,25.00969459272866
-7.312410376975241,-7.9297826652460754,24.691342586766446
-7.538910452729435,-8.440582427375011,24.54388351741913
-7.847260885134755,-8.97590624270378,24.590703408557555
-8.215414744306218,-9.494778380189747,24.841784628173237
-8.61179843278415,-9.948261688637254,25.293332624503535
-9.00703108272425,-10.283473658349648,25.920357550152886
-9.362710246684246,-10.441931933592425,26.67308899088869
-9.640305500688468,-10.389022835075036,27.480434498134453
-9.803125322935632,-10.117049328472904,28.250116805933178
-9.825166040841136,-9.644789476376854,28.881124473232852
-9.70125205748723,-9.045861210800481,29.297829842998436
-9.44357940834865,-8.400758600030922,29.4581092075463
-9.083608024277622,-7.776536320278085,29.354828000363707
-8.66777324586363,-7.231485600235547,29.017667214007407
-8.237326673559485,-6.823553559178573,28.49883768764999
-7.834157826292957,-6.5797192507631035,27.849462845972873
-7.493853875841873,-6.5032121510144,27.135479769592912
-7.243596330409729,-6.576365025240501,26.43139612562822
-7.095681691596942,-6.783228622886525,25.775528029422198
-7.056880194049186,-7.110711026489119,25.20769968183448
-7.127502030608108,-7.538361791375501,24.765156840516866
-7.299980202968256,-8.03947092071024,24.478451775602334
-7.561006468004257,-8.590105049342485,24.372906150564766
-7.90262264664422,-9.156143897968168,24.477662750009156
-8.30522769564334,-9.693221456382911,24.803440321874135
-8.73525700946519,-10.148012983554306,25.33970134206558
-9.149537545322286,-10.46033504667279,26.055279576832163
-9.511563740252999,-10.576279598577507,26.887787092384574
-9.77601844827033,-10.459855642019557,27.745296929810564
-9.908768094765012,-10.10942101615063,28.532297762435018
-9.889139189994854,-9.559032651174808,29.151442797975793
-9.713313961424165,-8.883417087011848,29.521651559016092
-9.402959870701604,-8.177263632587042,29.608466649797062
-8.994143172952622,-7.522258663935726,29.415538525678112
-8.535266662993697,-6.984519670108117,28.983056057784154
-8.078653317470073,-6.605134864145259,28.38009788555891
-7.665885670409381,-6.402328173069615,27.668752270885598
-7.330380852054215,-6.37642562450956,26.910219945610027
-7.096575590644354,-6.505104520700368,26.17048106790929
-6.974957206912455,-6.762986638362066,25.49970092183423
-6.968367686021775,-7.1386006177908365,24.93278061096977
-7.075791103436891,-7.612647702327873,24.50715473352528
-7.288775549009617,-8.15989198505963,24.254867574463802
-7.590821630823301,-8.752843800791416,24.19895627010697
-7.970054414089146,-9.352404107500194,24.367671127324364
-8.406771710437111,-9.907720892827138,24.77339383415621
-8.866338193474993,-10.360860070775736,25.400768849560098
-9.300068819768217,-10.647015399065213,26.20714040385528
-9.665862965841436,-10.70798280378607,27.122044084294206
-9.915980306663494,-10.516619120806586,28.034499710945887
-10.01465029229514,-10.081118126603888,28.83650085627834
-9.947224170603498,-9.445713634344534,29.43254427392068
-9.716020962345972,-8.698659947405336,29.746921670192748
-9.3493637722728,-7.9445010900856055,29.751800173142502
-8.891425568807477,-7.268441784688745,29.46266814979504
-8.39441502170463,-6.738329494712068,28.934664715116618
-7.914621443048741,-6.39081732124673,28.250142929758212
-7.494719620322979,-6.230579751801947,27.474930178448574
-7.165802268331967,-6.25429872370633,26.67102989984628
-6.94970883746454,-6.436663814703489,25.900865859985686
-6.855187290955312,-6.745126093429379,25.216769169532537
-6.881255382531679,-7.169859909364522,24.65215754607154
-7.025933755577535,-7.69169706071896,24.244673293918773
-7.279341636429102,-8.285178642193625,24.027221591668358
-7.6219636796059,-8.921431535272847,24.02239396495624
-8.037648177766751,-9.556920923136147,24.254829028077697
-8.508938511569298,-10.130807521829889,24.742328336234827
-9.00089239832327,-10.579560385623255,25.46642424640114
-9.460868706015987,-10.837184759356496,26.371954443341238
-9.826973814714664,-10.836540241858968,27.370675966465342
-10.060663705896475,-10.555266602256221,28.343510127263468
-10.122096229802064,-10.030765489669042,29.15792037553691
-9.99971790142625,-9.320979760144128,29.718067622821394
-9.71172019614745,-8.506068741669068,29.96789480278761
-9.288297984807361,-7.708991209130864,29.89093168156264
-8.782481982521169,-7.018886668641272,29.50734089587647
-8.250831332214453,-6.496617624839138,28.87881942487961
-7.74868380982524,-6.180715044313343,28.10724801380611
-7.323317029399747,-6.061116716387176,27.271657007173026
-7.001992457279017,-6.12721183682025,26.426980249447933
-6.802288542794405,-6.361358810124781,25.629366217120893
-6.73392860693868,-6.728253664555365,24.929802390376842
-6.79213426618466,-7.2006652949773144,24.366995620975043
-6.9718120904936605,-7.76962965730819,23.976284399486172
-7.266222084947451,-8.410103564733426,23.793166968777285
-7.657664427086314,-9.087106252400247,23.84655514925765
-8.11908797095492,-9.75894520487526,24.154733429600594
-8.62356587535431,-10.361388656767975,24.721259576809572
-9.135973436589527,-10.806651867787537,25.532415501914507
-9.608632300748795,-11.024469727633083,26.530303186650062
-9.981384188670546,-10.963844902492859,27.611538114997565
-10.19401281790269,-10.586429637566274,28.636639933375214
-10.21929955914807,-9.947192142790637,29.46715329293436
-10.047239689547778,-9.169825587048374,29.996985602301493
-9.70001760467981,-8.342794787047733,30.177693200438835
-9.230988320403437,-7.521813298282155,30.018756292972885
-8.688609626247086,-6.818200098202874,29.56557188909568
-8.130373207720663,-6.3085138146390225,28.8740645379594
-7.612955462977636,-6.015356764795105,28.027804299378637
-7.182590091857879,-5.928611308002221,27.134362870233844
-6.867042832826733,-6.022683512697762,26.252993457931325
-6.679749635082499,-6.279607028658269,25.430847174146376
-6.626792142170134,-6.676447924272334,24.714668226633297
-6.704786709259775,-7.185547446612789,24.142901625013742
-6.902791648708747,-7.790576977240918,23.751176894254936
-7.221269326639186,-8.469859446851896,23.580582673390104
-7.647202617683915,-9.186785762929086,23.662526895464666
-8.151191631714958,-9.890333204994832,24.017292249825466
-8.691324177343976,-10.516694367729398,24.651807487167016
-9.231878898251622,-10.982948452528555,25.537741041906262
-9.719828510805282,-11.19610797672807,26.608525229161895
-10.097707610231367,-11.099340477343205,27.75769090666982
-10.307689511948261,-10.67293381894309,28.839060123067977
-10.313207370305493,-9.956597410759443,29.698500940348158
-10.106505443864839,-9.083110296458685,30.226633351778393
-9.71241006797798,-8.168336473321894,30.372286866300787
-9.18890105541908,-7.299842813186183,30.14410155903959
-8.597610933874668,-6.583659915932136,29.607611961025412
-8.00318957441177,-6.085076228245101,28.836020120675784
-7.464262145592304,-5.819129922822571,27.921940591765914
-7.026144822312848,-5.764965555954341,26.974950951628056
-6.71352819240188,-5.8953413678761315,26.050220944222673
-6.538000829974763,-6.189836250087979,25.196930600543798
-6.5036899147681595,-6.623761688506635,24.4609265088354
-6.603254260284169,-7.17165094309824,23.879440983947166
-6.829147582729212,-7.819457358335364,23.491612734523944
-7.181764281209326,-8.543258262475625,23.338885880252764
-7.645072490983286,-9.30409156203775,23.453758770468855
-8.185837808684795,-10.048107051185097,23.859503417607836
-8.761699796561636,-10.708015360532112,24.56420163864702
-9.335169749325669,-11.18674562769808,25.535216389213364
-9.848335509184869,-11.386038922561513,26.699680893761254
-10.237895694531552,-11.24681546340219,27.936816476539164
-10.440576246397965,-10.745480522247385,29.08129093886653
-10.42041963483295,-9.947119331284258,29.96821895934793
-10.171875185998621,-8.999719839487206,30.484804252582087
-9.72795535053692,-8.019929066820072,30.584954598578218
-9.155424211481161,-7.10018926914914,30.29137628746899
-8.517960343159526,-6.364631179477108,29.67733868067282
-7.887312057003447,-5.8693076440438094,28.824747263094693
-7.32465302471639,-5.621042264722147,27.843697445782325
-6.874985950638987,-5.590652071914148,26.843991500535328
-6.560307034113913,-5.751189409732295,25.872743490770766
-6.391260002795819,-6.078409896041241,24.98332197821946
-6.370357708323482,-6.54405124268802,24.220269077518566
-6.486622444743676,-7.127604666566613,23.620999318788026
-6.739694308613112,-7.81587416568088,23.227814352171823
-7.124267291062644,-8.58250118706097,23.081028729364476
-7.619354312311914,-9.388076605703821,23.21600630819882
-8.189298509340444,-10.181070012747316,23.661904640521332
-8.80191160732084,-10.888240108351413,24.421357664601853
-9.41273839115386,-11.388905999851904,25.469940355902075
-9.96128490671417,-11.585826456710862,26.730338646142513
-10.3745431861463,-11.417432859203304,28.065363538371543
-10.578374676779475,-10.85012221469002,29.2866618651558
-10.540169181921772,-9.972243787629687,30.21720721438177
